DCA License Number,License Expiration Date,License Creation Date,Industry,Detail,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code,Community Board,Council District,BIN,BBL,NTA,Census Tract,Longitude,Latitude,Location
2112158-DCA,03/31/2025,04/04/2023,Garage,"Vehicle Spaces: 45, Bicycle Spaces: 0",H & E PARKING GARAGE CORP,,1962,CROTONA PKWY,,BRONX,NY,10460,7186178548,Bronx,2,206,15,2013110,2031210002,,,-73.88524581571758,40.84273703971188,"(40.84273703971188, -73.88524581571758)"
2058614-DCA,03/31/2025,09/25/2017,Garage,"Vehicle Spaces: 95, Bicycle Spaces: 10",IMPERIAL PARKING US LLC,IMpark,200,W 79TH ST,,NEW YORK,NY,10024,2129378660 X225,Manhattan,1,107,06,1030909,1011707501,MN12,167,-73.97856533850779,40.7832371706151,"(40.7832371706151, -73.97856533850779)"
2112213-DCA,03/31/2025,04/05/2023,Garage and Parking Lot,"Vehicle Spaces: 68, Bicycle Spaces: 7",125 VERTICAL PARKING GROUP  LLC,,123,BAXTER ST,,NEW YORK,NY,10013,5162051689,Manhattan,1,102,01,1086548,1002067501,,,-73.99891776958178,40.718161201455175,"(40.718161201455175, -73.99891776958178)"
1330437-DCA,03/31/2025,08/25/2009,Parking Lot,"Vehicle Spaces: 149, Bicycle Spaces: 14",MTP 3300 BROADWAY CORP.,,3270,BROADWAY,,NEW YORK,NY,10027,212-575-5335,Manhattan,1,109,7,1081809,1019860030,MN06,219,-73.9566314178272,40.8179517999976,"(40.8179517999976, -73.9566314178272)"
2001646-DCA,03/31/2025,12/16/2013,Garage,"Vehicle Spaces: 142, Bicycle Spaces: 11",QP HOSP LLC,,1695,EASTCHESTER RD,,BRONX,NY,10461,2126869800,Bronx,2,211,13,2044222,2040850180,BX37,200,-73.8447047070181,40.846128705285516,"(40.846128705285516, -73.8447047070181)"
1461192-DCA,03/31/2025,04/01/2013,Garage,"Vehicle Spaces: 105, Bicycle Spaces: 11","IMPERIAL PARKING (U.S), LLC",IMPARK,422-446,E 79TH ST,,NEW YORK,NY,10075,2129378660,Manhattan,1,108,05,1046026,1014730018,,,-73.95199673675279,40.7720443635213,"(40.7720443635213, -73.95199673675279)"
0369751-DCA,03/31/2025,04/14/1997,Parking Lot,"Vehicle Spaces: 190, Bicycle Spaces: 19",CORNELL UNIVERSITY MEDICAL COLLEGE,,404,E 70TH ST,,NEW YORK,NY,10021,2127461089,Manhattan,1,108,05,1045588,1014640030,,,-73.95656034925891,40.766317901378116,"(40.766317901378116, -73.95656034925891)"
2078732-DCA,03/31/2025,10/02/2018,Garage,"Vehicle Spaces: 150, Bicycle Spaces: 15","1411 BROADWAY GARAGE, LLC",,1411,BROADWAY,,NEW YORK,NY,10018,6465840409,Manhattan,1,105,03,1015275,1008150001,MN17,113,-73.98706766241901,40.753716012133694,"(40.753716012133694, -73.98706766241901)"
1343912-DCA,03/31/2025,01/28/2010,Garage,"Vehicle Spaces: 29, Bicycle Spaces:","PHOENIX REALTY GROUP, LLC",,4102,QUEENS BLVD,,SUNNYSIDE,NY,11104,3472423710,Queens,4,402,26,4536861,4001920501,QN31,18102,-73.92318633657682,40.74367553694367,"(40.74367553694367, -73.92318633657682)"
1421699-DCA,03/31/2025,03/15/2012,Parking Lot,"Vehicle Spaces: 70, Bicycle Spaces: 7",125 ST WATERFRONT LLC,,69,SAINT CLAIR PL,,NEW YORK,NY,10027,2125755335,Manhattan,1,109,7,1059981,1020040012,MN06,219,-73.96132820400123,40.8177997666414,"(40.8177997666414, -73.96132820400123)"
2100560-DCA,08/16/2023,08/02/2021,Garage,"Vehicle Spaces: 64, Bicycle Spaces: 6",515 WEST 36TH STREET PARKING CORP.,,515,W 36TH ST,,NEW YORK,NY,10018,2127367171,Manhattan,1,104,03,1089736,1007080020,,,-73.99926727122336,40.756321499413694,"(40.756321499413694, -73.99926727122336)"
2047939-DCA,03/31/2025,02/01/2017,Garage,"Vehicle Spaces: 200, Bicycle Spaces: 20","CLEAN AIR CAR SERVICE & PARKING BRANCH 3, LLC",,3720,PRINCE ST,,FLUSHING,NY,11354,,Queens,4,407,20,4112269,4049727501,QN22,871,-73.83277218732101,40.760440758131494,"(40.760440758131494, -73.83277218732101)"
2054343-DCA,03/31/2025,06/13/2017,Garage,"Vehicle Spaces: 88, Bicycle Spaces: 9",BELLTEL 365 PARKING LLC,,365,BRIDGE ST,,BROOKLYN,NY,11201,82-1130031,Brooklyn,3,302,33,3392184,3020587501,BK38,15,-73.98525488567955,40.692458287870416,"(40.692458287870416, -73.98525488567955)"
2103389-DCA,03/31/2025,01/10/2022,Garage,"Vehicle Spaces: 702, Bicycle Spaces: 27","ONE PARKING 703, INC.",,20990,23RD AVE,,BAYSIDE,NY,11360,5618337222,Queens,4,407,19,4131229,4058937501,,,-73.78206324421585,40.77901478730395,"(40.77901478730395, -73.78206324421585)"
2090542-DCA,03/31/2025,09/16/2019,Garage,"Vehicle Spaces: 375, Bicycle Spaces: 21",SP PLUS CORPORATION,,131,AMSTERDAM AVE,,NEW YORK,NY,10023,2126954568,Manhattan,1,107,06,1077844,1011377501,MN14,149,-73.98461932562064,40.77450438765997,"(40.77450438765997, -73.98461932562064)"
2035160-DCA,03/31/2025,03/29/2016,Parking Lot,"Vehicle Spaces: 35, Bicycle Spaces: 0",UNI. FACILITY CORP,,4070,BROADWAY,,NEW YORK,NY,10032,2125755335,Manhattan,1,112,10,1063461,1021410017,MN36,253,-73.93908202099796,40.84360968230189,"(40.84360968230189, -73.93908202099796)"
2099552-DCA,03/31/2025,06/18/2021,Garage,"Vehicle Spaces: 178, Bicycle Spaces: 18",PPS 9201 LLC,,9201,4TH AVE,,BROOKLYN,NY,11209,3473072941,Brooklyn,3,310,43,3155318,3061080022,,,-74.03021025791192,40.618225404642956,"(40.618225404642956, -74.03021025791192)"
2113683-DCA,03/31/2025,05/24/2023,Garage and Parking Lot,"Vehicle Spaces: 63, Bicycle Spaces: 6",58TH & 7TH PARKING LLC,,157,W 57TH ST,,NEW YORK,NY,10019,2126869800,Manhattan,1,105,06,1088565,1010107506,,,-73.97927869870011,40.76520437267967,"(40.76520437267967, -73.97927869870011)"
2045993-DCA,03/31/2025,11/29/2016,Garage,"Vehicle Spaces: 100, Bicycle Spaces: 10",MKN PARKING CORP,,1355,CROMWELL AVE,,BRONX,NY,10452,6466516335,Bronx,2,204,16,2008641,2028710085,BX26,219,-73.9204083186001,40.83969533225654,"(40.83969533225654, -73.9204083186001)"
2059556-DCA,03/31/2025,10/18/2017,Garage,"Vehicle Spaces: 86, Bicycle Spaces: 9",IMPERIAL PARKING (US) LLC,,222,W 14TH ST,,NEW YORK,NY,10011,3472733569,Manhattan,1,102,03,1067572,1006187501,MN23,77,-74.00055932654452,40.73891430473274,"(40.73891430473274, -74.00055932654452)"
1130760-DCA,03/31/2025,05/15/2006,Garage,"Vehicle Spaces: 71, Bicycle Spaces: 7",JDS PARKING LLC,,561,10TH AVE,,NEW YORK,NY,10036,2126869800,Manhattan,1,104,3,1087341,1010700029,MN13,117,-73.99577308911016,40.75923359820904,"(40.75923359820904, -73.99577308911016)"
2112128-DCA,03/31/2025,04/04/2023,Garage,"Vehicle Spaces: 20, Bicycle Spaces: 0",RKS 440 EAST 81ST LLC,,440,E 81ST ST,,NEW YORK,NY,10028,2127518050,Manhattan,1,108,05,1050374,1015600031,,,-73.95042905697358,40.77310042426423,"(40.77310042426423, -73.95042905697358)"
2095923-DCA,03/31/2025,07/06/2020,Garage,"Vehicle Spaces: 120, Bicycle Spaces: 12",126 WEST 32ND STREET GARAGE LLC,,125,W 31ST ST,,NEW YORK,NY,10001,6465840409,Manhattan,1,105,03,1087535,1008077501,,,-73.99007145885507,40.7482899447875,"(40.7482899447875, -73.99007145885507)"
2054399-DCA,03/31/2025,06/13/2017,Garage,"Vehicle Spaces: 1344, Bicycle Spaces: 31",QP HOSP LLC,,1260,WATERS PL,,BRONX,NY,10461,2126869800,Bronx,2,211,13,2113980,2042260040,BX37,284,-73.83841306386049,40.84274406840389,"(40.84274406840389, -73.83841306386049)"
2017914-DCA,03/31/2025,02/03/2015,Garage,"Vehicle Spaces: 120, Bicycle Spaces: 12",SP PLUS CORPORATION,,31,W 52ND ST,,NEW YORK,NY,10019,2125025490,Manhattan,1,105,04,1071418,1012687501,MN17,104,-73.97793734629516,40.76049140051342,"(40.76049140051342, -73.97793734629516)"
1186721-DCA,03/31/2025,12/23/2004,Garage,"Vehicle Spaces: 120, Bicycle Spaces: 12",NICE PARK LLC,,310,E 11TH ST,,NEW YORK,NY,10003,2129299404,Manhattan,1,103,2,1006438,1004520013,MN22,40,-73.98585631177798,40.730149439001885,"(40.730149439001885, -73.98585631177798)"
2088937-DCA,03/31/2025,07/31/2019,Garage,"Vehicle Spaces: 36, Bicycle Spaces: 0",300 EAST 46TH STREET GARAGE LLC,,300,E 46TH ST,,NEW YORK,NY,10017,6465840409,Manhattan,1,106,04,1038779,1013380049,MN19,90,-73.96999967023007,40.75222243399849,"(40.75222243399849, -73.96999967023007)"
1328126-DCA,03/31/2025,08/04/2009,Garage and Parking Lot,"Vehicle Spaces: 120, Bicycle Spaces: 12",M&N GROUP PARKING INC,,3158-60,JEROME AVE,,BRONX,NY,10468,917-470-5093,Bronx,2,207,11,2000000,2033220015,,,-73.88815339448514,40.87607978842104,"(40.87607978842104, -73.88815339448514)"
2082677-DCA,03/31/2025,02/28/2019,Garage,"Vehicle Spaces: 93, Bicycle Spaces: 9",311 WEST BROADWAY GARAGE LLC,,311,W BROADWAY,,NEW YORK,NY,10013,646-584-0409,Manhattan,1,102,01,1087488,1002287502,MN24,47,-74.00430750767096,40.7217293128447,"(40.7217293128447, -74.00430750767096)"
1240254-DCA,03/31/2025,03/19/2009,Garage,"Vehicle Spaces: 426, Bicycle Spaces: 24",IMPARK WATER LLC,IMPARK,55,WATER ST,,NEW YORK,NY,10041,2129378660,Manhattan,1,101,1,1083346,1000320501,MN25,9,-74.00978122562515,40.7035970814381,"(40.7035970814381, -74.00978122562515)"
2021340-DCA,03/31/2025,04/20/2015,Garage,"Vehicle Spaces: 101, Bicycle Spaces: 10",SP PLUS CORPORATION,,9,W 31ST ST,,NEW YORK,NY,10001,2125025490,Manhattan,1,105,04,1087290,1008337502,MN17,76,-73.98657457188555,40.74681017074108,"(40.74681017074108, -73.98657457188555)"
1102349-DCA,03/31/2025,07/05/2005,Parking Lot,"Vehicle Spaces: 60, Bicycle Spaces: 6",IMPARK 125 LLC,IMPARK,215,W 125TH ST,,NEW YORK,NY,10027,3472733569,Manhattan,1,110,9,1058659,1019310021,MN11,222,-73.9489788518908,40.809258879747304,"(40.809258879747304, -73.9489788518908)"
2030398-DCA,03/31/2025,11/12/2015,Garage,"Vehicle Spaces: 301, Bicycle Spaces: 21","YORKVILLE CAR PARK, LLC",,1635,3RD AVE,,NEW YORK,NY,10128,2129966363 X214,Manhattan,1,108,05,1086172,1015377501,MN32,154,-73.9513898890611,40.78235883104077,"(40.78235883104077, -73.9513898890611)"
2021178-DCA,03/31/2025,04/16/2015,Garage,"Vehicle Spaces: 225, Bicycle Spaces: 20",SP PLUS CORPORATION,,100,W 57TH ST,,NEW YORK,NY,10019,2125025490,Manhattan,1,105,04,1023456,1010090029,MN17,137,-73.97747036014913,40.76442727130689,"(40.76442727130689, -73.97747036014913)"
0977117-DCA,03/31/2025,01/02/1998,Garage,"Vehicle Spaces: 116, Bicycle Spaces: 11",MTP OPERATING CORP.,,89,CHRYSTIE ST,,NEW YORK,NY,10002,2125755335,Manhattan,1,103,01,1003939,1003040026,,,-73.99413796878977,40.717590147242305,"(40.717590147242305, -73.99413796878977)"
2100283-DCA,03/31/2025,07/21/2021,Garage and Parking Lot,"Vehicle Spaces: 58, Bicycle Spaces: 7",MV GARAGE MANAGEMENT INC,,2239,ADAM CLAYTON POWELL JR BLVD,,NEW YORK,NY,10027,6466602036,Manhattan,1,110,09,1089304,1019167503,,,-73.94524404762177,40.813176630193084,"(40.813176630193084, -73.94524404762177)"
2109089-DCA,03/31/2025,09/28/2022,Parking Lot,"Vehicle Spaces: 47, Bicycle Spaces: 1",EAST RIVER PARKING CORP,,340,E 117TH ST,,NEW YORK,NY,10035,9176643792,Manhattan,1,111,08,1052963,1016880030,,,-73.93605096523024,40.79715093548635,"(40.79715093548635, -73.93605096523024)"
2034912-DCA,03/31/2025,03/24/2016,Garage,"Vehicle Spaces: 53, Bicycle Spaces: 6",IMPARK 500 LLC,,500,4TH AVE,,BROOKLYN,NY,11215,2129378660,Brooklyn,3,306,39,3397588,3010277501,BK37,117,-73.99039696977455,40.668356979547454,"(40.668356979547454, -73.99039696977455)"
2112423-DCA,03/31/2025,04/13/2023,Garage,"Vehicle Spaces: 295, Bicycle Spaces: 21",LM DIME PARKING LLC,,277,S 5TH ST,,BROOKLYN,NY,11211,21227143571,Brooklyn,3,301,34,3323539,3024477501,,,-73.95787081294736,40.70921929888231,"(40.70921929888231, -73.95787081294736)"
2108369-DCA,,08/24/2022,Garage,"Vehicle Spaces: 100, Bicycle Spaces: 10",SP PLUS CORPORATION,,155,W 47TH ST,,NEW YORK,NY,10036,2123217542,Manhattan,1,105,04,1090823,1010007501,,,-73.98330186067226,40.75865881403907,"(40.75865881403907, -73.98330186067226)"
1299171-DCA,03/31/2025,09/11/2008,Garage,"Vehicle Spaces: 45, Bicycle Spaces: 0",FULL HOUSE PARKING LLC,,13511,40TH RD,,FLUSHING,NY,11354,3477320219,Queens,4,407,20,4534330,4050360055,QN22,871,-73.83013387081643,40.75886964646665,"(40.75886964646665, -73.83013387081643)"
2051058-DCA,03/31/2025,04/12/2017,Garage and Parking Lot,"Vehicle Spaces: 527, Bicycle Spaces: 23",CL PARKING LLC,,4809,CENTER BLVD,,LONG ISLAND CITY,NY,11109,212-686-9800,Queens,4,402,26,4000019,4000180001,QN31,1,-73.95797104482422,40.744752956981145,"(40.744752956981145, -73.95797104482422)"
2012211-DCA,03/31/2025,08/20/2014,Garage,"Vehicle Spaces: 65, Bicycle Spaces: 7",DIVINE PARKING GARAGE CORP,,3775,10TH AVE,,NEW YORK,NY,10034,2125442833,Manhattan,1,112,10,1064490,1021990001,MN01,299,-73.92118496942973,40.86135707718311,"(40.86135707718311, -73.92118496942973)"
2090971-DCA,03/31/2025,09/27/2019,Garage,"Vehicle Spaces: 24, Bicycle Spaces: 0",III IN LOT PARKING INC,,4388,BROADWAY,,NEW YORK,NY,10040,646-964-4640,Manhattan,1,112,10,1064038,1021700003,MN35,279,-73.93357386738654,40.85452233501155,"(40.85452233501155, -73.93357386738654)"
1474717-DCA,03/31/2025,10/03/2013,Garage,"Vehicle Spaces: 202, Bicycle Spaces: 20","IMPERIAL PARKING (U.S.), LLC",,101,BEDFORD AVE,,BROOKLYN,NY,11211,2129378660,Brooklyn,3,,,,,BK73,517,-77.51958437167269,40.11238533659802,"(40.11238533659802, -77.51958437167269)"
2094608-DCA,03/31/2025,02/19/2020,Garage and Parking Lot,"Vehicle Spaces: 77, Bicycle Spaces: 8",422 EAST 72ND STREET GARAGE LLC,,422,E 72ND ST,,NEW YORK,NY,10021,6465840409,Manhattan,1,108,05,1045832,1014667501,,,-73.95531408897544,40.7675031529738,"(40.7675031529738, -73.95531408897544)"
2082016-DCA,03/31/2025,02/06/2019,Garage,"Vehicle Spaces: 88, Bicycle Spaces: 9",EZY PARKING INC.,,1981,SEDGWICK AVE,,BRONX,NY,10453,7182944264,Bronx,2,205,14,2015048,2032300016,BX36,247,-73.91619100658323,40.85670403419975,"(40.85670403419975, -73.91619100658323)"
1205750-DCA,03/31/2025,03/12/2009,Garage,"Vehicle Spaces: 100, Bicycle Spaces: 10",MTP 57 LLC,,601,W 57TH ST,,NEW YORK,NY,10019,2125755335,Manhattan,1,104,6,1081009,1011050029,MN15,135,-73.99176136756428,40.7704730986102,"(40.7704730986102, -73.99176136756428)"
2082019-DCA,03/31/2025,02/06/2019,Garage,"Vehicle Spaces: 65, Bicycle Spaces: 6",EZY PARKING INC.,,930,SHERIDAN AVE,,BRONX,NY,10451,7182944264,Bronx,2,204,16,2002706,2024540019,BX14,18302,-73.9203611302137,40.827791479822565,"(40.827791479822565, -73.9203611302137)"
2001769-DCA,03/31/2025,12/20/2013,Garage,"Vehicle Spaces: 225, Bicycle Spaces: 20",QP HOSP LLC,,1811,EASTCHESTER RD,,BRONX,NY,10461,2126869800,Bronx,2,211,13,2097360,2041170001,BX37,286,-73.84494832751112,40.85015552156352,"(40.85015552156352, -73.84494832751112)"
2077757-DCA,03/31/2025,08/31/2018,Garage and Parking Lot,"Vehicle Spaces: 149, Bicycle Spaces: 15",ROGAR LLC,,280,BROADWAY,,NEW YORK,NY,10007,2129299404,Manhattan,1,101,01,1079215,1001530001,MN24,31,-74.00608900777661,40.714417192216374,"(40.714417192216374, -74.00608900777661)"
2001645-DCA,03/31/2025,12/16/2013,Garage,"Vehicle Spaces: 666, Bicycle Spaces: 25",QP HOSP LLC,,3414,WAYNE AVE,,BRONX,NY,10467,2126869800,Bronx,2,207,11,2018225,2033430245,BX43,421,-73.87791703557441,40.87971711092517,"(40.87971711092517, -73.87791703557441)"
1247511-DCA,03/31/2025,06/08/2007,Parking Lot,"Vehicle Spaces: 30, Bicycle Spaces:",LIC OPERATING 49 LLC,,3015,48TH AVE,,LONG IS CITY,NY,11101,2125755335,Queens,4,402,26,4436700,4002830001,QN31,199,-73.93749742917336,40.74140330412241,"(40.74140330412241, -73.93749742917336)"
1469881-DCA,03/31/2025,07/24/2013,Garage,"Vehicle Spaces: 76, Bicycle Spaces: 8","WEAP HOLDINGS, LLC",,200,W END AVE,,NEW YORK,NY,10023,2129299404,Manhattan,1,107,6,1030352,1011580506,MN14,155,-73.98519618406543,40.77819064507763,"(40.77819064507763, -73.98519618406543)"
2108976-DCA,03/31/2025,09/22/2022,Garage,"Vehicle Spaces: 219, Bicycle Spaces: 20",BLUDHAVEN ENTERPRISES INC,,19-73,38TH ST,,ASTORIA,NY,11105,9147332603,Queens,4,401,22,4616405,4008110001,,,-73.90163495911345,40.77756772862563,"(40.77756772862563, -73.90163495911345)"
2096933-DCA,03/31/2025,11/16/2020,Parking Lot,"Vehicle Spaces: 24, Bicycle Spaces: 0",LUXURY GREEN PARKING LLC,,13,GRATTAN ST,,BROOKLYN,NY,11206,5167127533,Brooklyn,3,301,34,3425378,3030930010,,,-73.9326764013365,40.705504633782475,"(40.705504633782475, -73.9326764013365)"
2092451-DCA,03/31/2025,11/22/2019,Garage,"Vehicle Spaces: 88, Bicycle Spaces: 9",OTTO PARK LLC,,211,MCGUINNESS BLVD,,BROOKLYN,NY,11222,2125755335,Brooklyn,3,301,33,3379800,3025767501,,,-73.9509702072562,40.72952504407939,"(40.72952504407939, -73.9509702072562)"
0921085-DCA,03/31/2025,05/23/1995,Garage,"Vehicle Spaces: 95, Bicycle Spaces: 10","ABC PARKING, CORP.",,2070,WHITE PLAINS RD,,BRONX,NY,10462,7188025611,Bronx,2,211,13,2095028,2042870005,BX49,22404,-73.86775519760731,40.85259926294658,"(40.85259926294658, -73.86775519760731)"
2021442-DCA,03/31/2025,04/21/2015,Garage and Parking Lot,"Vehicle Spaces: 32, Bicycle Spaces: 10",G & K PARKING GARAGE INC.,,1208,FRANKLIN AVE,,BRONX,NY,10456,718-235-4975,Bronx,2,,,,,BX35,185,,,
2066146-DCA,03/31/2025,02/15/2018,Parking Lot,"Vehicle Spaces: 41, Bicycle Spaces: 0",STAR PARKING III INC.,,1611,WASHINGTON AVE,,BRONX,NY,10457,6465530620,Bronx,2,203,16,2000000,2029040032,BX01,167,-73.90215737087873,40.8397718696197,"(40.8397718696197, -73.90215737087873)"
2096164-DCA,03/31/2025,08/11/2020,Garage,"Vehicle Spaces: 152, Bicycle Spaces: 15",1133 6TH AVENUE GARAGE LLC,,1133,6TH AVE,,NEW YORK,NY,10036,9175595750,Manhattan,1,105,04,1080824,1009960029,,,-73.98332419872982,40.755941519891046,"(40.755941519891046, -73.98332419872982)"
1119290-DCA,03/31/2025,08/22/2002,Garage,"Vehicle Spaces: 43, Bicycle Spaces:",IMPARK 89 LLC,,1229,MADISON AVE,,NEW YORK,NY,10128,2129378660,Manhattan,1,108,4,1046958,1015000053,MN40,15002,-73.95759333867957,40.782514985915874,"(40.782514985915874, -73.95759333867957)"
2109016-DCA,08/09/2023,09/22/2022,Garage,"Vehicle Spaces: 32, Bicycle Spaces: 0",GMH PARK INC,,371,HUMBOLDT ST,,BROOKLYN,NY,11211,9172140583,Brooklyn,3,301,34,3425791,3027607502,,,-73.9427599848144,40.714943841135586,"(40.714943841135586, -73.9427599848144)"
2001643-DCA,03/31/2025,12/16/2013,Garage,"Vehicle Spaces: 862, Bicycle Spaces: 27",QP HOSP LLC,,120,E 210TH ST,,BRONX,NY,10467,2126869800,Bronx,2,207,11,,,BX43,419,-73.88022037505341,40.879818333341184,"(40.879818333341184, -73.88022037505341)"
2067409-DCA,10/01/2023,03/07/2018,Garage and Parking Lot,"Vehicle Spaces: 303, Bicycle Spaces: 21",535 CARLTON AVENUE PARKING CORP,,535,CARLTON AVE,,BROOKLYN,NY,11238,212-736-7171,Brooklyn,3,308,35,3418188,3011290001,BK64,163,-73.97087879103465,40.68144627154087,"(40.68144627154087, -73.97087879103465)"
2072755-DCA,08/02/2023,06/06/2018,Garage,"Vehicle Spaces: 40, Bicycle Spaces: 0",MP 30 YARDS LLC,,520,W 30TH ST,,NEW YORK,NY,10001,2124903460,Manhattan,1,104,03,1089836,1007010016,MN13,99,-74.00225220254441,40.752585880533076,"(40.752585880533076, -74.00225220254441)"
2055977-DCA,03/31/2025,07/19/2017,Garage,"Vehicle Spaces: 122, Bicycle Spaces: 12",BON D OPERATING LLC,,363,BOND ST,,BROOKLYN,NY,11231,212-575-5335,Brooklyn,3,306,39,3000000,3004520001,BK33,77,-73.99082818711588,40.678186055636885,"(40.678186055636885, -73.99082818711588)"
2087393-DCA,03/31/2025,06/20/2019,Parking Lot,"Vehicle Spaces: 196, Bicycle Spaces: 20",Imperial Parking US LLC,IMPARK,1752,BROADWAY,,NEW YORK,NY,10019,3472733569,Manhattan,1,105,04,1024894,1010280017,MN17,137,-73.98195720324804,40.76558359762435,"(40.76558359762435, -73.98195720324804)"
2082904-DCA,03/31/2025,03/06/2019,Garage,"Vehicle Spaces: 33, Bicycle Spaces: 0",ADD PARK INC,,3000,PARK AVE,,BRONX,NY,10451,9174705093,Bronx,2,201,17,2115818,2024420034,BX34,65,-73.92204576003935,40.82094456156336,"(40.82094456156336, -73.92204576003935)"
1474295-DCA,03/31/2025,09/28/2013,Garage,"Vehicle Spaces: 205, Bicycle Spaces: 20",550 WEST 45TH ST. GARAGE LLC,,550,W 45TH ST,,NEW YORK,NY,10036,2127492548,Manhattan,1,104,03,1089386,1010737501,,,-73.99580538469833,40.76227203033298,"(40.76227203033298, -73.99580538469833)"
2098372-DCA,03/31/2025,04/16/2021,Parking Lot,"Vehicle Spaces: 16, Bicycle Spaces: 0",JJ&I Parking Corp.,,1830,E TREMONT AVE,,BRONX,NY,10460,2124704261,Bronx,2,209,18,2028703,2039250006,,,-73.86665526866555,40.840502064518006,"(40.840502064518006, -73.86665526866555)"
2051001-DCA,03/31/2025,04/11/2017,Garage,"Vehicle Spaces: 115, Bicycle Spaces: 12",AP 127TH MANAGEMENT LLC.,,311,W 127TH ST,,NEW YORK,NY,10027,6469644323,Manhattan,1,110,09,1089109,1019547501,MN03,215,-73.95063154078338,40.811655742292835,"(40.811655742292835, -73.95063154078338)"
2051515-DCA,03/31/2025,04/19/2017,Garage,"Vehicle Spaces: 58, Bicycle Spaces: 6",ADD PARK INC,,3213,3RD AVE,,BRONX,NY,10451,9174705093,Bronx,2,203,17,2116624,2023677502,BX35,141,-73.90904626352118,40.823509586491795,"(40.823509586491795, -73.90904626352118)"
2109855-DCA,08/13/2023,11/17/2022,Garage,"Vehicle Spaces: 233, Bicycle Spaces: 20",SP PLUS CORPORATION,,27,EAGLE ST,,BROOKLYN,NY,11222,2123217542,Brooklyn,3,301,33,3428861,3024720021,,,-73.96042747329663,40.73464765042175,"(40.73464765042175, -73.96042747329663)"
2001481-DCA,03/31/2025,12/11/2013,Garage,"Vehicle Spaces: 530, Bicycle Spaces: 23",SP PLUS CORPORATION,,500,5TH ST,,BROOKLYN,NY,11215,2125025490,Brooklyn,3,306,39,3023160,3010280037,,,-73.98788826389757,40.66728902443071,"(40.66728902443071, -73.98788826389757)"
1462898-DCA,03/31/2025,04/18/2013,Parking Lot,"Vehicle Spaces: 56, Bicycle Spaces: 6","SOGE ASSOCIATES, LLC",,14520,JAMAICA AVE,,JAMAICA,NY,11435,7185262601,Queens,4,412,24,0,4000000000,QN61,212,-73.80968905607936,40.701938777529925,"(40.701938777529925, -73.80968905607936)"
2113186-DCA,08/17/2023,05/08/2023,Garage and Parking Lot,"Vehicle Spaces: 67, Bicycle Spaces: 07",800 FLATBUSH AVE PARKING LLC,,800,FLATBUSH AVE,,BROOKLYN,NY,11226,347-866-3357,Brooklyn,3,314,40,3397264,3050637501,,,-73.95941255991976,40.65331157227732,"(40.65331157227732, -73.95941255991976)"
0736176-DCA,03/31/2025,05/17/2006,Garage,"Vehicle Spaces: 90, Bicycle Spaces: 9",AMSTERDAM GARAGE LLC,,621,AMSTERDAM AVE,,NEW YORK,NY,10024,2128748983,Manhattan,1,107,6,1032489,1012210001,MN12,177,-73.97303406370311,40.79038329314962,"(40.79038329314962, -73.97303406370311)"
2113675-DCA,03/31/2025,05/24/2023,Garage and Parking Lot,"Vehicle Spaces: 30, Bicycle Spaces: 0",SP PLUS CORPORATION,,39,E 29TH ST,,NEW YORK,NY,10016,2123217542,Manhattan,1,105,02,1087770,1008597502,,,-73.98475257860477,40.744430246193104,"(40.744430246193104, -73.98475257860477)"
2051385-DCA,08/22/2023,04/18/2017,Garage,"Vehicle Spaces: 67, Bicycle Spaces: 0",43-25 HUNTER STREET PARKING CORP.,,4325,HUNTER ST,,LONG ISLAND CITY,NY,11101,2127367171,Queens,4,402,26,4005146,4004330031,QN31,19,-73.942594531949,40.74789180264069,"(40.74789180264069, -73.942594531949)"
1469508-DCA,03/31/2025,07/19/2013,Garage and Parking Lot,"Vehicle Spaces: 90, Bicycle Spaces: 9",VINCENT 15 PARKING LLC,,553,AVENUE OF THE AMERICAS,,NEW YORK,NY,10011,2126869800,Manhattan,1,104,03,1014560,1007910036,,,-73.99627961925454,40.73814571539752,"(40.73814571539752, -73.99627961925454)"
2107971-DCA,03/31/2025,08/05/2022,Garage,"Vehicle Spaces: 87, Bicycle Spaces: 10",SOBRO PARKING GARAGE CORP.,,276,GRAND CONCOURSE,,BRONX,NY,10451,7185573711,Bronx,2,201,08,2000999,2023410010,,,-73.92929008769013,40.81391176913415,"(40.81391176913415, -73.92929008769013)"
2034103-DCA,03/31/2025,03/08/2016,Garage and Parking Lot,"Vehicle Spaces: 240, Bicycle Spaces: 21",TYOS LLC,,1131,OGDEN AVE,,BRONX,NY,10452,2126652160,Bronx,2,204,16,2088158,2025260090,,,-73.9274955262169,40.83628558491302,"(40.83628558491302, -73.9274955262169)"
2113183-DCA,08/17/2023,05/08/2023,Garage,"Vehicle Spaces: 108, Bicycle Spaces: 10",ONE SIXTEEN PARKING LLC,,150,BEACH 117TH ST,,ROCKAWAY PARK,NY,11694,3478663357,Queens,4,414,32,4000000,4162267502,,,-73.83754027232848,40.578556483058165,"(40.578556483058165, -73.83754027232848)"
